"month","year","deaths","population","sex","age"
1,2015,139,520000,"Female","0-64"
1,2015,554,180000,"Female","65+"
1,2015,177,5e+05,"Male","0-64"
1,2015,531,150000,"Male","65+"
2,2015,145,520000,"Female","0-64"
2,2015,540,180000,"Female","65+"
2,2015,168,5e+05,"Male","0-64"
2,2015,511,150000,"Male","65+"
3,2015,120,520000,"Female","0-64"
3,2015,521,180000,"Female","65+"
3,2015,156,5e+05,"Male","0-64"
3,2015,457,150000,"Male","65+"
4,2015,142,520000,"Female","0-64"
4,2015,416,180000,"Female","65+"
4,2015,147,5e+05,"Male","0-64"
4,2015,449,150000,"Male","65+"
5,2015,131,520000,"Female","0-64"
5,2015,357,180000,"Female","65+"
5,2015,128,5e+05,"Male","0-64"
5,2015,404,150000,"Male","65+"
6,2015,118,520000,"Female","0-64"
6,2015,397,180000,"Female","65+"
6,2015,143,5e+05,"Male","0-64"
6,2015,402,150000,"Male","65+"
7,2015,134,520000,"Female","0-64"
7,2015,395,180000,"Female","65+"
7,2015,133,5e+05,"Male","0-64"
7,2015,352,150000,"Male","65+"
8,2015,112,520000,"Female","0-64"
8,2015,360,180000,"Female","65+"
8,2015,122,5e+05,"Male","0-64"
8,2015,410,150000,"Male","65+"
9,2015,135,520000,"Female","0-64"
9,2015,387,180000,"Female","65+"
9,2015,136,5e+05,"Male","0-64"
9,2015,416,150000,"Male","65+"
10,2015,122,520000,"Female","0-64"
10,2015,443,180000,"Female","65+"
10,2015,155,5e+05,"Male","0-64"
10,2015,452,150000,"Male","65+"
11,2015,121,520000,"Female","0-64"
11,2015,483,180000,"Female","65+"
11,2015,167,5e+05,"Male","0-64"
11,2015,523,150000,"Male","65+"
12,2015,145,520000,"Female","0-64"
12,2015,527,180000,"Female","65+"
12,2015,166,5e+05,"Male","0-64"
12,2015,558,150000,"Male","65+"
1,2016,135,520000,"Female","0-64"
1,2016,540,180000,"Female","65+"
1,2016,123,5e+05,"Male","0-64"
1,2016,547,150000,"Male","65+"
2,2016,139,520000,"Female","0-64"
2,2016,512,180000,"Female","65+"
2,2016,156,5e+05,"Male","0-64"
2,2016,562,150000,"Male","65+"
3,2016,124,520000,"Female","0-64"
3,2016,483,180000,"Female","65+"
3,2016,163,5e+05,"Male","0-64"
3,2016,490,150000,"Male","65+"
4,2016,141,520000,"Female","0-64"
4,2016,457,180000,"Female","65+"
4,2016,176,5e+05,"Male","0-64"
4,2016,459,150000,"Male","65+"
5,2016,129,520000,"Female","0-64"
5,2016,394,180000,"Female","65+"
5,2016,158,5e+05,"Male","0-64"
5,2016,429,150000,"Male","65+"
6,2016,126,520000,"Female","0-64"
6,2016,377,180000,"Female","65+"
6,2016,134,5e+05,"Male","0-64"
6,2016,397,150000,"Male","65+"
7,2016,120,520000,"Female","0-64"
7,2016,370,180000,"Female","65+"
7,2016,132,5e+05,"Male","0-64"
7,2016,364,150000,"Male","65+"
8,2016,119,520000,"Female","0-64"
8,2016,336,180000,"Female","65+"
8,2016,141,5e+05,"Male","0-64"
8,2016,386,150000,"Male","65+"
9,2016,105,520000,"Female","0-64"
9,2016,401,180000,"Female","65+"
9,2016,150,5e+05,"Male","0-64"
9,2016,398,150000,"Male","65+"
10,2016,143,520000,"Female","0-64"
10,2016,461,180000,"Female","65+"
10,2016,150,5e+05,"Male","0-64"
10,2016,419,150000,"Male","65+"
11,2016,119,520000,"Female","0-64"
11,2016,486,180000,"Female","65+"
11,2016,165,5e+05,"Male","0-64"
11,2016,511,150000,"Male","65+"
12,2016,143,520000,"Female","0-64"
12,2016,529,180000,"Female","65+"
12,2016,152,5e+05,"Male","0-64"
12,2016,514,150000,"Male","65+"
1,2017,135,520000,"Female","0-64"
1,2017,540,180000,"Female","65+"
1,2017,147,5e+05,"Male","0-64"
1,2017,554,150000,"Male","65+"
2,2017,147,520000,"Female","0-64"
2,2017,526,180000,"Female","65+"
2,2017,168,5e+05,"Male","0-64"
2,2017,562,150000,"Male","65+"
3,2017,129,520000,"Female","0-64"
3,2017,478,180000,"Female","65+"
3,2017,169,5e+05,"Male","0-64"
3,2017,454,150000,"Male","65+"
4,2017,129,520000,"Female","0-64"
4,2017,464,180000,"Female","65+"
4,2017,158,5e+05,"Male","0-64"
4,2017,438,150000,"Male","65+"
5,2017,123,520000,"Female","0-64"
5,2017,415,180000,"Female","65+"
5,2017,136,5e+05,"Male","0-64"
5,2017,386,150000,"Male","65+"
6,2017,112,520000,"Female","0-64"
6,2017,375,180000,"Female","65+"
6,2017,141,5e+05,"Male","0-64"
6,2017,354,150000,"Male","65+"
7,2017,134,520000,"Female","0-64"
7,2017,372,180000,"Female","65+"
7,2017,130,5e+05,"Male","0-64"
7,2017,358,150000,"Male","65+"
8,2017,106,520000,"Female","0-64"
8,2017,382,180000,"Female","65+"
8,2017,116,5e+05,"Male","0-64"
8,2017,399,150000,"Male","65+"
9,2017,114,520000,"Female","0-64"
9,2017,400,180000,"Female","65+"
9,2017,132,5e+05,"Male","0-64"
9,2017,419,150000,"Male","65+"
10,2017,145,520000,"Female","0-64"
10,2017,469,180000,"Female","65+"
10,2017,125,5e+05,"Male","0-64"
10,2017,479,150000,"Male","65+"
11,2017,132,520000,"Female","0-64"
11,2017,498,180000,"Female","65+"
11,2017,183,5e+05,"Male","0-64"
11,2017,508,150000,"Male","65+"
12,2017,128,520000,"Female","0-64"
12,2017,582,180000,"Female","65+"
12,2017,148,5e+05,"Male","0-64"
12,2017,584,150000,"Male","65+"
1,2018,135,520000,"Female","0-64"
1,2018,525,180000,"Female","65+"
1,2018,183,5e+05,"Male","0-64"
1,2018,502,150000,"Male","65+"
2,2018,135,520000,"Female","0-64"
2,2018,525,180000,"Female","65+"
2,2018,141,5e+05,"Male","0-64"
2,2018,560,150000,"Male","65+"
3,2018,146,520000,"Female","0-64"
3,2018,497,180000,"Female","65+"
3,2018,166,5e+05,"Male","0-64"
3,2018,550,150000,"Male","65+"
4,2018,140,520000,"Female","0-64"
4,2018,467,180000,"Female","65+"
4,2018,175,5e+05,"Male","0-64"
4,2018,420,150000,"Male","65+"
5,2018,137,520000,"Female","0-64"
5,2018,394,180000,"Female","65+"
5,2018,137,5e+05,"Male","0-64"
5,2018,429,150000,"Male","65+"
6,2018,107,520000,"Female","0-64"
6,2018,357,180000,"Female","65+"
6,2018,139,5e+05,"Male","0-64"
6,2018,355,150000,"Male","65+"
7,2018,109,520000,"Female","0-64"
7,2018,371,180000,"Female","65+"
7,2018,147,5e+05,"Male","0-64"
7,2018,362,150000,"Male","65+"
8,2018,111,520000,"Female","0-64"
8,2018,355,180000,"Female","65+"
8,2018,120,5e+05,"Male","0-64"
8,2018,392,150000,"Male","65+"
9,2018,132,520000,"Female","0-64"
9,2018,395,180000,"Female","65+"
9,2018,126,5e+05,"Male","0-64"
9,2018,403,150000,"Male","65+"
10,2018,135,520000,"Female","0-64"
10,2018,455,180000,"Female","65+"
10,2018,134,5e+05,"Male","0-64"
10,2018,439,150000,"Male","65+"
11,2018,126,520000,"Female","0-64"
11,2018,477,180000,"Female","65+"
11,2018,171,5e+05,"Male","0-64"
11,2018,519,150000,"Male","65+"
12,2018,143,520000,"Female","0-64"
12,2018,514,180000,"Female","65+"
12,2018,164,5e+05,"Male","0-64"
12,2018,583,150000,"Male","65+"
1,2019,151,520000,"Female","0-64"
1,2019,528,180000,"Female","65+"
1,2019,187,5e+05,"Male","0-64"
1,2019,535,150000,"Male","65+"
2,2019,134,520000,"Female","0-64"
2,2019,488,180000,"Female","65+"
2,2019,175,5e+05,"Male","0-64"
2,2019,543,150000,"Male","65+"
3,2019,124,520000,"Female","0-64"
3,2019,524,180000,"Female","65+"
3,2019,166,5e+05,"Male","0-64"
3,2019,516,150000,"Male","65+"
4,2019,126,520000,"Female","0-64"
4,2019,483,180000,"Female","65+"
4,2019,153,5e+05,"Male","0-64"
4,2019,466,150000,"Male","65+"
5,2019,123,520000,"Female","0-64"
5,2019,435,180000,"Female","65+"
5,2019,163,5e+05,"Male","0-64"
5,2019,397,150000,"Male","65+"
6,2019,124,520000,"Female","0-64"
6,2019,355,180000,"Female","65+"
6,2019,137,5e+05,"Male","0-64"
6,2019,378,150000,"Male","65+"
7,2019,120,520000,"Female","0-64"
7,2019,370,180000,"Female","65+"
7,2019,113,5e+05,"Male","0-64"
7,2019,363,150000,"Male","65+"
8,2019,104,520000,"Female","0-64"
8,2019,359,180000,"Female","65+"
8,2019,144,5e+05,"Male","0-64"
8,2019,363,150000,"Male","65+"
9,2019,150,520000,"Female","0-64"
9,2019,392,180000,"Female","65+"
9,2019,128,5e+05,"Male","0-64"
9,2019,408,150000,"Male","65+"
10,2019,121,520000,"Female","0-64"
10,2019,468,180000,"Female","65+"
10,2019,165,5e+05,"Male","0-64"
10,2019,455,150000,"Male","65+"
11,2019,147,520000,"Female","0-64"
11,2019,506,180000,"Female","65+"
11,2019,144,5e+05,"Male","0-64"
11,2019,506,150000,"Male","65+"
12,2019,143,520000,"Female","0-64"
12,2019,581,180000,"Female","65+"
12,2019,197,5e+05,"Male","0-64"
12,2019,532,150000,"Male","65+"
1,2020,213,520000,"Female","0-64"
1,2020,681,180000,"Female","65+"
1,2020,200,5e+05,"Male","0-64"
1,2020,679,150000,"Male","65+"
2,2020,178,520000,"Female","0-64"
2,2020,694,180000,"Female","65+"
2,2020,202,5e+05,"Male","0-64"
2,2020,685,150000,"Male","65+"
3,2020,197,520000,"Female","0-64"
3,2020,699,180000,"Female","65+"
3,2020,216,5e+05,"Male","0-64"
3,2020,758,150000,"Male","65+"
4,2020,167,520000,"Female","0-64"
4,2020,627,180000,"Female","65+"
4,2020,203,5e+05,"Male","0-64"
4,2020,673,150000,"Male","65+"
5,2020,179,520000,"Female","0-64"
5,2020,589,180000,"Female","65+"
5,2020,194,5e+05,"Male","0-64"
5,2020,585,150000,"Male","65+"
6,2020,152,520000,"Female","0-64"
6,2020,484,180000,"Female","65+"
6,2020,186,5e+05,"Male","0-64"
6,2020,479,150000,"Male","65+"
7,2020,171,520000,"Female","0-64"
